TipoHash;TamanhoTabela;TamanhoDados;TempoInsercao;Colisoes;TempoBusca;Comparacoes
divisao;1000;10000;15159900;9939;7060;19
multiplicacao;1000;10000;12176000;9939;3300;19
dobramento;1000;10000;25918000;9665;2120;2
divisao;1000;100000;3169537000;99933;215580;1448
multiplicacao;1000;100000;2699591500;99933;281820;1448
dobramento;1000;100000;582024100;99633;36020;153
divisao;1000;1000000;1121744589600;999926;2342260;12110
multiplicacao;1000;1000000;1190561270200;999926;1472980;12110
dobramento;1000;1000000;85843563100;999611;64360;1880
divisao;10000;10000;9344900;9939;1040;19
multiplicacao;10000;10000;10126500;9939;1080;19
dobramento;10000;10000;5170500;9665;720;2
divisao;10000;100000;2624882900;99933;62560;1448
multiplicacao;10000;100000;2684136900;99933;76000;1448
dobramento;10000;100000;1273201200;99633;16300;153
divisao;10000;1000000;1092002739100;999926;1260360;12110
multiplicacao;10000;1000000;1026084101700;999926;1370740;12110
dobramento;10000;1000000;124025330800;999611;110200;1880
divisao;100000;10000;10751800;9939;1000;19
multiplicacao;100000;10000;12413100;9939;1140;19
dobramento;100000;10000;8345600;9665;1240;2
divisao;100000;100000;2706261200;99933;137540;1448
multiplicacao;100000;100000;2701783800;99933;116720;1448
dobramento;100000;100000;722282100;99633;4480;153
divisao;100000;1000000;1013806502700;999926;1976660;12110
multiplicacao;100000;1000000;1069415302900;999926;1298560;12110
dobramento;100000;1000000;135247043200;999611;576100;1880
